217.60.63.14:2053#FR [201.38ms 0.3Mbps]
172.93.32.125:443#CA [201.71ms 7.89Mbps]
152.228.232.186:2053#FR [201.97ms 0.13Mbps]
45.155.121.234:443#NL [202.31ms 0.17Mbps]
51.210.159.218:443#FR [203.39ms 2.16Mbps]
216.57.105.127:443#NL [203.51ms 2.32Mbps]
176.124.201.78:8443#NL [204.11ms 0.21Mbps]
31.57.196.120:8443#NL [204.25ms 0.11Mbps]
172.93.32.237:443#CA [204.52ms 7.45Mbps]
146.59.19.208:8443#PL [204.62ms 0.16Mbps]
45.91.236.231:443#NL [205.08ms 0.6Mbps]
31.59.120.198:443#FR [205.6ms 2.56Mbps]
5.129.236.228:2053#NL [205.99ms 0.21Mbps]
31.57.108.170:8443#FR [206.25ms 2.17Mbps]
147.45.255.91:443#NL [206.25ms 0.08Mbps]
194.135.105.203:2053#NL [206.9ms 0.38Mbps]
217.60.37.28:2053#FR [209.11ms 0.96Mbps]
31.59.121.155:8443#FR [209.54ms 2.36Mbps]
38.180.239.173:443#RS [209.59ms 2.49Mbps]
125.7.24.251:443#AU [213.52ms 0.16Mbps]
168.220.85.211:443#SE [213.68ms 1.04Mbps]
185.114.116.181:8443#EE [214.28ms 2.39Mbps]
152.53.112.170:2053#AT [214.51ms 2.52Mbps]
31.57.109.126:2053#FR [215.31ms 2.33Mbps]
159.195.112.41:443#AT [215.58ms 0.97Mbps]
178.128.38.173:2053#GB [216.47ms 0.13Mbps]
165.232.43.156:443#GB [216.65ms 0.04Mbps]
178.79.149.5:443#GB [216.98ms 0.06Mbps]
154.26.156.24:443#AU [217.15ms 0.1Mbps]
209.97.187.141:443#GB [217.8ms 0.1Mbps]
138.68.178.185:2096#GB [218.28ms 0.18Mbps]
64.227.47.103:2053#GB [218.32ms 0.19Mbps]
178.157.82.110:2053#GB [218.78ms 0.58Mbps]
165.232.108.151:2083#GB [219.02ms 0.17Mbps]
185.223.252.104:443#BG [219.89ms 0.2Mbps]
193.124.58.60:443#CZ [220.88ms 0.12Mbps]
178.17.61.156:8443#FI [221.19ms 1.38Mbps]
172.234.118.48:443#SE [221.69ms 0.0Mbps]
92.118.150.57:443#PL [222.32ms 0.16Mbps]
91.199.160.38:443#CZ [223.5ms 0.69Mbps]
92.53.120.14:8443#RU [223.75ms 0.0Mbps]
5.189.254.168:2053#EE [225.42ms 1.84Mbps]
178.208.91.177:443#CZ [226.28ms 3.18Mbps]
89.127.196.14:443#CH [226.77ms 0.1Mbps]
176.124.33.223:443#PL [227.56ms 0.12Mbps]
91.184.250.113:8443#CZ [228.35ms 0.82Mbps]
194.154.29.81:443#CH [228.42ms 0.44Mbps]
65.49.232.101:443#CA [228.57ms 3.88Mbps]
199.68.196.67:443#CH [228.73ms 0.08Mbps]
193.124.58.61:443#CZ [229.05ms 0.18Mbps]
193.124.57.87:443#CZ [229.72ms 0.48Mbps]
194.154.29.139:8443#CH [229.95ms 0.29Mbps]
62.182.193.220:443#SE [230.7ms 0.65Mbps]
45.153.48.236:8443#DK [230.89ms 2.23Mbps]
91.184.250.182:443#CZ [230.95ms 2.63Mbps]
195.123.244.20:443#CZ [231.04ms 0.19Mbps]
194.71.227.213:443#BE [231.05ms 0.18Mbps]
45.148.29.199:8443#DK [231.55ms 2.15Mbps]
91.245.225.79:2053#CH [231.57ms 0.05Mbps]
91.184.249.44:8443#CZ [231.85ms 0.77Mbps]
191.101.184.50:443#PL [231.85ms 0.16Mbps]
91.199.147.228:8443#CZ [231.93ms 0.17Mbps]
196.196.5.26:443#SE [232.41ms 3.07Mbps]
195.137.244.47:2053#PL [233.08ms 0.85Mbps]
216.173.68.33:443#LV [233.78ms 3.12Mbps]
82.118.23.18:2053#PL [234.37ms 0.13Mbps]
45.91.92.104:2087#CH [234.38ms 2.87Mbps]
45.144.53.157:8443#FI [234.4ms 0.29Mbps]
185.126.64.4:2083#PL [234.43ms 2.91Mbps]
91.186.221.115:443#FI [234.48ms 0.08Mbps]
62.182.195.147:443#SE [234.61ms 0.15Mbps]
140.238.209.8:443#CH [236.01ms 2.82Mbps]
169.40.5.202:443#LV [236.18ms 0.15Mbps]
185.58.207.112:443#FI [236.4ms 0.07Mbps]
188.253.22.211:443#LV [236.66ms 0.27Mbps]
185.221.199.75:443#RU [236.67ms 0.61Mbps]
193.239.160.89:443#BG [236.92ms 0.17Mbps]
89.40.105.64:443#FI [237.05ms 0.15Mbps]
45.12.68.99:443#FI [237.13ms 0.13Mbps]
203.18.98.163:8443#LV [237.26ms 0.6Mbps]
196.196.5.28:443#SE [237.66ms 0.58Mbps]
5.34.212.177:8443#LV [237.67ms 0.23Mbps]
5.34.208.208:443#LV [237.84ms 0.53Mbps]
151.241.215.143:8443#IT [237.9ms 2.82Mbps]
83.143.112.17:8443#FI [238.38ms 1.45Mbps]
188.64.142.58:8443#LV [238.59ms 0.81Mbps]
91.197.2.19:443#LV [238.76ms 0.14Mbps]
178.253.31.14:443#FI [238.88ms 3.96Mbps]
38.180.164.234:443#EE [239.24ms 0.13Mbps]
195.123.209.7:8443#LV [239.34ms 0.19Mbps]
159.195.110.37:443#AT [239.47ms 0.2Mbps]
217.60.6.103:443#LV [239.76ms 2.68Mbps]
141.227.139.175:443#CH [239.99ms 0.1Mbps]
2.27.170.209:443#EE [240.33ms 0.74Mbps]
212.7.7.155:8443#EE [240.33ms 0.09Mbps]
144.31.212.58:443#FI [240.77ms 2.55Mbps]
185.205.210.144:443#BG [240.79ms 2.25Mbps]
144.31.232.73:2053#FI [240.89ms 0.45Mbps]
185.114.116.181:443#EE [241.11ms 0.84Mbps]
24.84.0.55:8443#CA [241.13ms 0.35Mbps]
85.217.170.56:2053#BG [241.67ms 0.1Mbps]
83.228.193.229:8443#CH [241.7ms 0.09Mbps]
38.180.216.120:443#EE [242.25ms 0.13Mbps]
212.162.155.222:2053#PL [242.51ms 0.16Mbps]
176.97.74.41:8443#EE [242.74ms 0.11Mbps]
83.147.241.197:443#BG [243.46ms 0.0Mbps]
141.227.149.235:2053#CH [243.8ms 0.16Mbps]
89.46.70.144:443#IT [244.14ms 0.21Mbps]
91.92.136.216:2053#BG [244.45ms 0.26Mbps]
185.66.71.155:443#BY [244.63ms 0.0Mbps]
194.76.227.72:443#EE [244.64ms 0.09Mbps]
193.233.219.205:443#RU [244.8ms 1.43Mbps]
185.122.185.94:8443#EE [245.41ms 0.12Mbps]
82.118.20.234:443#PL [245.71ms 3.74Mbps]
185.111.109.47:443#DK [246.13ms 0.35Mbps]
45.133.17.118:443#CA [247.07ms 0.14Mbps]
141.227.165.228:2053#AT [247.97ms 0.42Mbps]
160.22.74.117:443#VN [248.08ms 0.26Mbps]
45.133.17.106:443#CA [248.28ms 0.45Mbps]
185.253.44.97:443#PL [248.51ms 0.1Mbps]
13.50.199.225:443#SE [249.08ms 0.0Mbps]
194.87.230.132:443#BG [249.98ms 0.11Mbps]
13.62.127.104:443#SE [251.41ms 0.2Mbps]
109.176.202.20:443#DK [251.42ms 0.0Mbps]
83.147.255.116:443#RU [252.98ms 3.21Mbps]
94.242.59.208:443#SE [252.98ms 0.19Mbps]
141.8.196.120:443#RU [253.0ms 0.13Mbps]
82.152.132.14:443#RO [253.83ms 0.4Mbps]
148.113.209.22:443#CA [254.21ms 2.89Mbps]
202.50.55.76:443#NO [255.42ms 0.15Mbps]
95.130.84.36:2053#BY [255.78ms 0.08Mbps]
185.235.243.172:443#TR [257.6ms 0.12Mbps]
37.252.189.207:443#AT [257.66ms 0.1Mbps]
80.249.146.46:2087#RU [258.04ms 0.38Mbps]
194.87.230.83:8443#BG [258.47ms 0.12Mbps]
2.56.207.67:443#AM [258.53ms 2.95Mbps]
142.4.215.110:443#CA [258.6ms 0.16Mbps]
31.130.144.235:443#RU [260.57ms 0.09Mbps]
158.51.123.177:443#CA [260.82ms 0.21Mbps]
194.36.85.113:443#TR [261.69ms 0.52Mbps]
82.152.132.60:443#RO [262.23ms 0.55Mbps]
85.120.229.219:443#RO [262.85ms 2.6Mbps]
13.140.9.211:443#SE [262.99ms 0.13Mbps]
155.103.69.91:8443#TR [264.24ms 0.55Mbps]
157.22.185.68:2053#RU [264.61ms 0.0Mbps]
85.90.196.11:443#RO [265.33ms 0.1Mbps]
173.242.63.235:8443#UA [265.37ms 0.66Mbps]
31.57.225.181:2053#TR [265.54ms 0.08Mbps]
176.42.68.134:2083#TR [265.74ms 0.27Mbps]
13.140.29.170:443#BG [266.22ms 2.68Mbps]
45.74.158.168:443#TR [266.94ms 0.05Mbps]
157.173.29.46:443#AT [267.1ms 1.51Mbps]
185.114.72.31:2053#ES [267.26ms 0.65Mbps]
45.86.229.28:443#ES [267.47ms 0.16Mbps]
82.117.255.136:8443#RO [267.76ms 2.43Mbps]
13.140.29.13:443#BG [268.32ms 0.21Mbps]
77.73.131.24:443#AT [268.5ms 0.08Mbps]
178.88.167.88:443#KZ [268.76ms 0.04Mbps]
195.162.68.79:443#IS [269.38ms 0.56Mbps]
213.142.132.24:443#TR [269.51ms 0.06Mbps]
188.132.232.192:8443#TR [269.56ms 0.08Mbps]
178.157.15.73:443#TR [269.93ms 0.08Mbps]
172.93.167.45:443#CA [270.02ms 2.24Mbps]
93.180.134.48:443#TR [270.05ms 0.05Mbps]
152.53.102.19:443#AT [270.27ms 0.63Mbps]
212.74.227.162:443#RU [270.62ms 0.2Mbps]
180.149.37.38:8443#HU [271.24ms 0.22Mbps]
193.181.212.101:443#DK [272.7ms 2.9Mbps]
5.249.255.116:443#DK [273.1ms 0.38Mbps]
160.187.110.199:443#AU [273.31ms 5.54Mbps]
157.22.190.203:2053#RU [274.01ms 2.13Mbps]
83.147.242.56:8443#ES [274.15ms 0.19Mbps]
193.180.211.92:8443#DK [274.68ms 0.32Mbps]
130.195.222.215:443#AT [274.82ms 0.16Mbps]
92.113.149.59:443#DK [275.42ms 0.92Mbps]
193.181.209.232:8443#DK [276.06ms 2.49Mbps]
89.28.236.192:8443#DK [276.08ms 2.14Mbps]
141.227.137.177:2053#BE [276.49ms 0.16Mbps]
38.180.225.247:2053#HU [276.77ms 0.7Mbps]
172.233.116.56:2053#ES [278.45ms 0.0Mbps]
35.42.169.95:443#ES [278.56ms 0.18Mbps]
176.12.72.166:443#KZ [278.68ms 0.04Mbps]
94.143.138.159:443#ES [279.51ms 0.12Mbps]
212.46.38.93:443#ES [279.6ms 0.13Mbps]
162.141.93.190:2083#ES [279.77ms 0.08Mbps]
159.195.112.45:443#AT [279.84ms 0.09Mbps]
141.227.186.221:2053#BE [280.29ms 0.16Mbps]
93.123.113.47:443#AL [282.08ms 0.17Mbps]
176.223.140.204:443#LT [283.27ms 0.23Mbps]
65.20.105.75:443#ES [283.36ms 2.28Mbps]
217.154.185.87:443#ES [284.36ms 0.58Mbps]
194.135.83.166:8443#LT [284.79ms 3.15Mbps]
93.85.236.9:443#BY [286.15ms 0.1Mbps]
38.180.109.174:443#HU [286.27ms 3.65Mbps]
5.249.148.85:443#IT [286.87ms 0.09Mbps]
91.218.212.223:443#UA [287.78ms 0.05Mbps]
46.29.238.112:443#NO [287.89ms 0.15Mbps]
213.252.246.17:8443#LT [288.12ms 0.22Mbps]
85.121.183.24:2087#RO [288.45ms 0.1Mbps]
81.29.149.219:2053#NO [288.54ms 2.37Mbps]
89.147.111.223:2053#IS [288.83ms 0.18Mbps]
38.213.228.91:443#MX [288.87ms 0.03Mbps]
89.185.82.188:443#MK [289.61ms 0.12Mbps]
94.177.202.37:443#IT [289.66ms 0.37Mbps]
213.111.148.137:443#UA [290.58ms 1.74Mbps]
178.17.174.137:8443#MD [291.21ms 0.05Mbps]
4.232.64.201:443#IT [295.98ms 0.14Mbps]
45.136.57.82:2053#KZ [297.03ms 0.21Mbps]
91.219.236.136:2053#HU [297.07ms 0.11Mbps]
85.206.161.200:443#LT [297.28ms 0.13Mbps]
89.185.81.54:443#NO [298.01ms 2.14Mbps]
109.248.18.169:443#KZ [299.4ms 0.21Mbps]
151.243.181.99:443#IS [299.55ms 2.68Mbps]
193.142.58.147:2087#RO [301.67ms 2.41Mbps]
198.55.103.168:443#IE [303.3ms 1.79Mbps]
45.136.57.82:8443#KZ [304.01ms 0.13Mbps]
23.95.225.10:8443#IE [304.88ms 0.07Mbps]
82.117.255.237:8443#RO [306.43ms 1.28Mbps]
141.105.130.102:443#UA [306.56ms 3.31Mbps]
193.169.228.116:443#IL [306.62ms 2.59Mbps]
188.240.213.98:2053#KG [307.01ms 0.17Mbps]
91.200.148.120:443#KZ [307.37ms 0.08Mbps]
178.214.211.48:8443#RO [307.55ms 0.15Mbps]
2.56.204.183:443#AM [307.62ms 0.09Mbps]
45.10.40.150:443#KZ [307.89ms 0.11Mbps]
82.152.132.57:443#RO [308.37ms 1.28Mbps]
185.146.234.91:443#IS [308.52ms 0.1Mbps]
167.160.177.68:2096#IE [308.82ms 0.09Mbps]
185.146.234.242:443#IS [309.92ms 0.11Mbps]
185.241.7.178:443#IL [311.09ms 0.18Mbps]
185.253.75.119:443#IL [312.11ms 0.0Mbps]
92.118.115.22:2053#KZ [312.51ms 0.16Mbps]
109.248.199.113:8443#KZ [312.82ms 0.14Mbps]
109.248.18.147:443#KZ [313.46ms 1.79Mbps]
198.55.102.68:2083#IE [313.54ms 2.63Mbps]
123.51.23.113:443#AU [316.05ms 0.08Mbps]
84.235.250.237:443#AE [321.53ms 0.16Mbps]
144.31.243.120:8443#LT [322.93ms 0.09Mbps]
179.255.190.3:443#IT [325.6ms 0.08Mbps]
88.218.92.231:443#AM [325.99ms 0.28Mbps]
95.215.244.116:443#KG [326.16ms 0.92Mbps]
85.159.229.122:443#IE [326.35ms 1.39Mbps]
31.14.140.155:443#IT [326.71ms 0.22Mbps]
144.31.217.95:443#NO [328.82ms 0.7Mbps]
185.112.146.236:443#IS [329.28ms 0.05Mbps]
80.211.238.227:443#IT [330.16ms 0.15Mbps]
194.55.166.65:443#CY [333.5ms 2.28Mbps]
89.46.42.92:8443#SK [334.48ms 0.23Mbps]
195.238.126.11:443#LT [335.29ms 0.0Mbps]
212.192.23.30:443#LT [335.74ms 0.34Mbps]
149.28.171.207:443#AU [340.22ms 0.48Mbps]
130.94.58.215:8443#SA [343.3ms 2.11Mbps]
196.197.21.2:8443#IE [343.48ms 0.65Mbps]
89.125.139.115:443#AL [348.11ms 0.09Mbps]
185.86.77.181:8443#UA [350.11ms 2.15Mbps]
188.190.3.42:443#LT [351.2ms 0.14Mbps]
89.125.248.243:443#LT [351.5ms 0.0Mbps]
195.133.18.146:443#RS [351.52ms 0.96Mbps]
66.245.204.103:443#IT [352.4ms 0.35Mbps]
185.48.250.113:443#RS [353.02ms 0.03Mbps]
130.94.81.80:443#OM [353.49ms 4.34Mbps]
141.98.233.6:443#BE [354.29ms 0.16Mbps]
185.48.250.113:8443#RS [355.99ms 0.09Mbps]
108.165.64.147:443#AU [356.25ms 0.3Mbps]
185.48.250.138:2096#RS [357.83ms 0.12Mbps]
193.169.229.202:443#IL [359.18ms 0.14Mbps]
212.192.23.91:443#LT [360.7ms 0.13Mbps]
64.176.15.110:2053#CL [363.64ms 1.34Mbps]
129.151.124.127:443#CL [363.66ms 0.43Mbps]
194.87.85.5:8443#RS [366.46ms 0.13Mbps]
85.121.177.192:2053#MD [371.17ms 0.05Mbps]
45.10.190.30:443#GR [376.52ms 0.12Mbps]
31.58.237.197:2096#AZ [378.68ms 0.0Mbps]
119.9.134.7:443#AU [380.79ms 0.45Mbps]
31.76.113.164:443#IT [385.71ms 0.7Mbps]
178.219.159.88:443#KG [388.26ms 0.0Mbps]
130.49.163.54:8443#RS [391.27ms 0.11Mbps]
130.49.163.54:2053#RS [392.18ms 0.17Mbps]
216.173.67.59:443#MY [400.68ms 0.29Mbps]
216.173.67.144:8443#MY [400.89ms 0.0Mbps]
152.69.169.24:443#AU [401.24ms 0.22Mbps]
94.103.188.145:443#MD [403.57ms 0.12Mbps]
144.172.88.236:443#AE [405.46ms 0.08Mbps]
172.236.62.238:443#AU [405.82ms 0.04Mbps]
91.239.6.40:443#AL [409.66ms 0.19Mbps]
146.19.213.60:443#MD [412.33ms 0.07Mbps]
217.156.67.86:443#MD [414.4ms 0.09Mbps]
216.173.67.159:443#MY [414.6ms 0.46Mbps]
45.194.27.181:443#MY [417.8ms 0.84Mbps]
156.38.157.171:8443#ZA [427.22ms 0.07Mbps]
156.38.157.171:2053#ZA [453.56ms 0.1Mbps]
